OBS_ID	X	Y	Depth	LAYER	ME	ME^2
221.1123_1	680302.73	6120491.32	8.70492076873779	1	2.72030550866591	7.40006206047809	
221.1124_1	680201.76	6120539.35	4.02982234954834	1	5.55541483845893	30.8626340273697	
221.1138_1	675365	6124655	2.37995445728302	1	-1.02758768253326	1.05593644529408	
226.1104_1	684416.77	6101872.52	2.59558391571045	1	-2.2399415911934	5.01733833195802	
226.1123_1	684482	6101852	2.59558391571045	1	-1.67387471234131	2.8018565526157	
226.1148_1	683744	6102294	1.97947131097317	1	-3.48570881164551	12.1501659195831	
226.1179_1	684609	6101294	1.2237137556076	1	0.652423150758449	0.425655967645582	
226.1182_1	685024	6102344	1.21889686584473	1	-0.707487707298316	0.500538855978228	
226.88_1	689291	6111440	13.0214338302612	1	-5.76739528938293	33.2628484239965	
182.385_1	710609	6221089	19.4658079147339	3	4.52359406391525	20.4629032550893	
182.386_1	710609	6221089	19.4658079147339	3	4.48359406391525	20.1026157299761	
182.387_1	710608	6221089	19.4658079147339	3	4.41443270470428	19.4872161043628	
182.388_1	710531	6221107	19.4658079147339	3	4.98584125460434	24.8586130161146	
182.389_1	710531	6221107	19.4658079147339	3	4.70584125460434	22.1449419135362	
183.58_2	718995	6219488	19.9678263664246	3	10.9094754438071	119.01665445903	
183.59_1	718918	6219369	19.9678263664246	3	3.97791071384426	15.823773647317	
183.59_2	718918	6219369	19.9678263664246	3	3.97791071384426	15.823773647317	
183.59_3	718918	6219369	19.9678263664246	3	3.97791071384426	15.823773647317	
183.60_1	717739	6219300	18.5523293018341	3	18.7723675931931	352.401785053965	
186.725_1	689375	6209897	17.9578356742859	3	-0.7468059040308	0.557719058295261	
186.726_1	689374	6209897	17.9578356742859	3	-2.73723546183777	7.49245797354222	
186.728_1	691762	6206666	18.981321811676	3	-0.356081376220704	0.12679394649123	
186.733_1	685499.33	6211676.46	5.13406109809875	3	1.51909221137991	2.30764114667511	
186.761_2	691466	6206475	25.6740872859955	3	0.607915013122558	0.3695606631798	
186.764_1	691326	6206567	16.4725241661072	3	1.85619400033569	3.44545616688223	
186.765_1	691320	6206892	16.4725241661072	3	1.93299346363068	3.73646373043892	
186.766_1	691422	6206794	16.4725241661072	3	1.30844600912476	1.7120309587945	
186.768_1	691421	6206844	16.4725241661072	3	0.923278856899261	0.852443847597205	
186.769_1	691521	6206821	18.981321811676	3	1.11586754247475	1.24516037234863	
186.770_1	691520	6206896	18.981321811676	3	1.0433723670578	1.0886258963398	
186.771_1	691518	6206996	18.981321811676	3	1.04980022787476	1.10208051844589	
187.1385_1	708456.9	6215992	26.1345167160034	3	37.23	1386.0729	
188.921_1	719043	6211627	16.6756992340088	3	15.8384673727626	250.857048718066	
190.31_1	656382	6191896	6.84278655052185	3	-1.15374141126141	1.33111924405947	
192.1044_1	690038	6190934	4.94553983211517	3	-1.76615351745749	3.11929824722745	
192.1045_1	690038	6190844	4.94553983211517	3	1.42585073513663	2.03305031888966	
192.1046_1	690158	6190854	4.94553983211517	3	-1.90607046654069	3.63310462341866	
192.1047_1	690138.41	6190933.76	4.94553983211517	3	-5.51937393141742	30.4634885948101	
192.1063_1	698288	6189864	14.0899133682251	3	3.19644330455017	10.2172497992036	
192.1063_2	698288	6189864	14.0899133682251	3	3.17644330455017	10.0897920670216	
192.1069_1	696617	6191736	8.10172033309937	3	0.241595053077697	0.0583681696716153	
192.912_1	697788	6188524	13.4448575973511	3	3.66123081278992	13.4046110645223	
192.941_1	685101	6198993	26.4759793281555	3	2.93181435369659	8.59553540454132	
192.946_2	696508	6191971	8.10172033309937	3	-0.459916452423096	0.211523143209446	
193.1372_1	714739	6193562	27.9988045692444	3	13.5088893252563	182.490090802025	
193.1373_1	714380	6193492	25.3875555992126	3	13.3038877624512	176.993429595898	
193.1396_2	705786	6196834	14.0765628814697	3	10.1004579138472	102.019250069399	
193.1440_1	711445	6190739	12.6618480682373	3	6.86787813610077	47.167750092331	
193.1445_1	711528	6190366	23.1325597763062	3	7.36806794714355	54.2884252737242	
193.1446_1	703844	6192558	11.5866270065308	3	7.69645539666748	59.235425672892	
193.1450_1	702919.37	6194470.79	22.1096563339233	3	13.6678404253766	186.809861893558	
193.1452_2	715325	6194538	21.1829652786255	3	13.209125528717	174.480997233404	
193.1478_1	715362	6193739	25.826153755188	3	14.3515431665344	205.966791260901	
193.1484_1	715334	6193858	25.826153755188	3	14.8532789744873	220.619896293947	
193.1486_1	712453	6195529	22.8357949256897	3	10.9129280460663	119.09199853862	
193.1488_1	712577	6195603	20.4390778541565	3	11.2245802993927	125.991202897515	
193.1490_1	712438	6195547	22.8357949256897	3	11.6192798623047	135.007664518559	
193.1491_1	712452	6195529	22.8357949256897	3	11.6383718340759	135.451698948212	
193.1493_1	712231	6194479	26.8132610321045	3	13.7754358107986	189.762631777434	
193.1538_2	706076	6202975	7.81924438476563	3	1.30926808624267	1.71418292165356	
193.1569_1	713339.82	6192858.65	25.1341066360474	3	12.459388812702	155.236369586084	
193.1575_1	715381	6193644	25.826153755188	3	14.1597551468048	200.498665817465	
193.1579_1	706906	6192160	22.7035579681396	3	13.3048634454346	177.019391301661	
193.1580_1	707112	6196629	12.2986679077148	3	8.00507162541822	64.0811717280759	
193.1581_1	708903	6194725	20.4742746353149	3	13.1599149965286	173.183362715859	
193.1582_1	707008	6192057	21.2115392684937	3	11.0450152868042	121.992362685738	
193.1583_1	707071	6192054	21.2115392684937	3	12.3891842331543	153.491885963039	
193.1584_1	704735	6192611	24.0005922317505	3	9.38885464500427	88.1505915450183	
193.1591_1	712332	6194456	26.8132610321045	3	13.7889531818848	190.13522985221	
193.1592_1	712228	6194534	27.7269840240479	3	14.0742638676758	198.084903416964	
193.1593_1	712156	6194260	26.8132610321045	3	12.6676955827332	160.470511376797	
193.1596_1	712564	6195490	22.0639495849609	3	13.9929641885376	195.803046781696	
193.1597_1	712376	6195509	22.8357949256897	3	11.0544115190735	122.200014033025	
193.1598_1	712473	6195571	22.8357949256897	3	10.8710504225616	118.179737289878	
193.1599_1	712485	6195549	22.8357949256897	3	10.8880329866791	118.549262319012	
193.1602_1	712541	6195537	20.4390778541565	3	8.25939920207215	68.21767517919	
193.1603_1	712508	6195569	20.4390778541565	3	8.315012990448	69.1394410313189	
193.1609_1	706489	6191380	12.1959829330444	3	7.97251617401123	63.5610141448706	
193.1611_1	715337	6193590	25.826153755188	3	6.21227612258911	38.5923746232908	
193.1612_1	715397	6193594	25.826153755188	3	5.69996591815186	32.4896114680927	
193.1614_1	709580	6198040	28.5577783584595	3	13.5661356689453	184.04003698823	
193.1616_1	710108	6197395	25.971152305603	3	13.2697280002594	176.085681200868	
193.1617_1	709576	6198377	28.5577783584595	3	13.9344587220612	194.169139876826	
193.1618_1	704258	6198264	11.4722108840942	3	5.27057523187256	27.7789632748285	
193.1691_1	709123.19	6191868.34	21.7580304145813	3	18.2969929094711	334.779949529236	
193.1761_1	715032.9	6193960.9	25.826153755188	3	17.6520532383468	311.594983529429	
193.2021_1	710012.64	6196651.29	24.2930059432983	3	13.6987325062159	187.655272276857	
193.2063_1	703810.2	6192613.6	11.5866270065308	3	10.2551677592985	105.168465771356	
193.2064_1	703782.7	6192819.1	11.5866270065308	3	12.87512847754	165.768933313162	
194.776_1	717947	6203296	16.4102298021317	3	2.31234934755325	5.34695950512995	
194.777_1	717897	6203320	16.4102298021317	3	-0.580640647220611	0.33714356120477	
194.829_1	718166	6196521	30.8040885925293	3	10.8317192761383	117.326142477066	
197.48B_1	652189	6180148	38.1604900360107	3	2.12637828754234	4.52148462173151	
198.548_2	668541.2	6173131	21.2800660133362	3	0.303047035455361	0.0918375056982827	
198.561_1	680061	6184501	34.1714086532593	3	10.0326847011786	100.654762313262	
198.565_1	674929	6184876	20.9959540367126	3	1.08039092203474	1.16724454441508	
199.1007_1	686458	6186171	20.587984085083	3	8.96732770327759	80.4129661379697	
199.1008_2	686458	6186170	20.587984085083	3	9.59526870330811	92.069181488684	
199.1009_1	687061	6185800	18.2523880004883	3	7.97885156040192	63.6620722229281	
199.1010_1	687321	6186042	19.2641763687134	3	7.45919643090057	55.6396113947599	
199.1043_1	696028.42	6186457.47	11.1957271099091	3	-2.84245514116494	8.07955122953497	
199.1049_1	680886	6186979	20.5124740600586	3	6.18341071316528	38.2345680476872	
199.1051_1	684129	6182920	22.5671677589417	3	11.7788294539833	138.740823306025	
199.1066_1	684600	6184888	23.299503326416	3	8.38373856716156	70.2870723625122	
199.377_1	684155	6181249	21.4238768815994	3	4.01877090008736	16.1505195473889	
199.771_1	682517	6180952	11.6408557891846	3	11.8695064322739	140.885182945791	
200.3617_1	716317	6180930	9.33917492628098	3	4.34329859642029	18.8642426976664	
200.3667_1	709097	6185616	33.2826557159424	3	0.207625885498048	0.0431085083288487	
200.3673_1	716418	6184405	13.9887471795082	3	-2.80621946929932	7.87486770987454	
200.3796_1	716610	6184433	19.6889510154724	3	3.50652870819092	12.2957435813671	
200.3797_1	716649	6184470	19.6889510154724	3	-0.659184110336305	0.434523691319866	
200.3837_1	707063	6183294	24.6391394138336	3	10.5026492267151	110.305640779419	
200.3866_2	705293	6177935	5.76308751106262	3	0.528499394569396	0.279311610060218	
200.3873_1	705289	6177908	5.76308751106262	3	1.00709002973938	1.01423032800047	
200.3874_1	705297	6177955	5.76308751106262	3	1.27089372684479	1.61517086493343	
200.4202_1	711412	6173732	5.5601921081543	3	9.1	82.81	
200.4351_1	714959	6180312	14.2690860033035	3	0.250006356964112	0.0625031785224672	
200.4354_2	715317	6179484	11.675107717514	3	-0.372714992881775	0.138916465918862	
200.4407_2	714729.37	6179500.84	10.2669496536255	3	-2.57340575436445	6.62241717659604	
200.4412_1	713223	6180894	13.9601922035217	3	5.88925141732788	34.6832822564985	
200.4413_1	713138	6180708	13.9601922035217	3	5.89661217889404	34.7700351882816	
200.4415_1	711313	6186875	30.2435665130615	3	0.343868487358094	0.118245536597944	
200.4415_2	711313	6186875	30.2435665130615	3	0.343868487358094	0.118245536597944	
200.4415_3	711313	6186875	30.2435665130615	3	0.343868487358094	0.118245536597944	
200.4415_4	711313	6186875	30.2435665130615	3	0.343868487358094	0.118245536597944	
200.4415_5	711313	6186875	30.2435665130615	3	0.343868487358094	0.118245536597944	
200.5038_1	704639	6186313	13.2935516834259	3	-1.80348937756729	3.25257393499805	
200.5039_1	704743	6186344	13.2935516834259	3	-1.06999845336151	1.14489669019603	
200.5087_2	708879.84	6185815.18	25.7817668914795	3	-6.20220503341218	38.4673472764833	
200.5098_1	712348	6175614	6.1017165184021	3	13.5	182.25	
201.3808_2	726734	6173769	6.48744487762451	3	-3.70276079083061	13.7104374741125	
201.3808_3	726734	6173769	6.48744487762451	3	-3.70276079083061	13.7104374741125	
201.3831_1	718539	6182132	22.3459153175354	3	4.80579300426483	23.0956463998408	
201.3832_1	718657.17	6181635.8	17.081484079361	3	5.83034016185436	33.992866402932	
201.3875_1	720673	6173762	5.69135856628418	3	-1.80478764646149	3.25725844881999	
201.3912_1	724843	6174423	10.1488878726959	3	-0.71824408281374	0.51587456249695	
201.3913_1	724844	6174452	10.1488878726959	3	-0.464911508184433	0.216142710442324	
201.3921_2	722640.04	6176903.86	10.5945513248444	3	-4.19362450393256	17.5864864799836	
201.4103_1	727014	6174852	7.52767276763916	3	-3.50827875324249	12.3080198104527	
201.4104_1	726973	6174842	8.40598440170288	3	-3.48946031414986	12.1763332840268	
201.4153_1	726658	6176360	8.86905694007874	3	-1.21281701648712	1.47092511548072	
201.4154_1	726354	6176554	6.29578518867493	3	-1.40741128083801	1.9808065134301	
201.4155_1	727199	6176845	11.7896433472633	3	-0.881482764674425	0.777011864418068	
201.4371_1	721032.34	6181624.25	27.0822510719299	3	0.0700126187903365	0.00490176678988098	
201.4371_2	721032.34	6181624.25	27.0822510719299	3	0.0500126187903369	0.00250126203826756	
201.4372_1	721022.26	6181601.56	27.0822510719299	3	-0.302942583714566	0.091774209027657	
201.4372_2	721022.26	6181601.56	27.0822510719299	3	-0.312942583714566	0.0979330607019482	
201.4444_1	724841	6177224	9.63626909255981	3	-3.11745402643967	9.71851960696489	
201.4499_1	722965	6173790	6.62586259841919	3	-5.11018163795471	26.1139563728895	
201.4500_1	722965	6173790	6.62586259841919	3	-2.93018163795471	8.58596443140696	
201.4501_1	722965	6173790	6.62586259841919	3	-2.15018163795471	4.62328107619761	
201.4502_1	722965	6173790	6.62586259841919	3	-2.37018163795471	5.61776099689768	
201.4508_1	723505	6174480	8.57159066200256	3	-3.01889757790565	9.11374258588463	
201.4509_1	723500	6174465	8.57159066200256	3	-2.80947370171547	7.89314248063082	
201.4510_1	723490	6174475	6.11362826824188	3	-2.82557171010971	7.98385548897231	
201.4511_1	723485	6174460	6.11362826824188	3	-2.4158221353054	5.83619658943156	
201.4719_1	719598	6176820	9.4665139913559	3	-3.09882354980469	9.60270739282412	
201.4765_1	726935	6174311	7.884357213974	3	-2.34998969360352	5.52245156004275	
201.4788_1	723047	6174338	6.11362826824188	3	-2.82969234339142	8.00715875824802	
201.4792_1	724841	6177224	9.63626909255981	3	-3.53745402643967	12.5135809891742	
201.4793_1	723053	6174038	6.11362826824188	3	-2.33226904362488	5.4394788918509	
201.4814_2	726998	6174291	7.884357213974	3	-1.96516569042969	3.86187619084199	
201.4842_2	724224	6176807	9.49622821807861	3	-1.69478031387711	2.87228031230538	
201.4843_2	724468	6176683	9.49622821807861	3	-1.49483830225563	2.2345415498905	
201.4844_2	724499	6176663	9.49622821807861	3	-1.39943298423099	1.95841267735367	
201.4847_1	725395	6176228	7.55330514907837	3	-1.99464838889595	3.97862219532521	
201.4848_1	725400	6176176	7.55330514907837	3	-2.26571109562926	5.13344676885754	
201.4848_2	725400	6176176	7.55330514907837	3	-2.05571109562926	4.22594810869325	
201.4850_2	725836	6175421	5.27777443081141	3	-1.40572861984825	1.97607295266047	
201.4856_1	727275	6174302	8.54724454879761	3	-2.67502019820213	7.15573306078938	
201.4857_1	727290	6174376	8.54724454879761	3	-2.62009000995636	6.86487166027312	
201.4858_1	727353	6174394	8.54724454879761	3	-2.71583551366234	7.37576253726958	
201.4862_1	725553	6174706	8.80754745006561	3	-1.55392600342369	2.41468602411632	
201.4863_1	725565	6174666	8.80754745006561	3	-0.724702212553024	0.525193296879249	
201.4864_1	725529	6174546	8.80754745006561	3	-1.49453658138084	2.23363959308554	
201.4865_3	724260	6176805	9.49622821807861	3	-1.87972644882202	3.53337152240105	
201.4866_3	724408	6176717	9.49622821807861	3	-1.63513040885353	2.67365145395751	
201.4867_2	724729	6176574	11.1601648330688	3	-1.17707339476013	1.38550177665214	
201.4868_2	724783	6176535	11.1601648330688	3	-1.67904587442875	2.8191950484362	
201.4869_2	724875	6176551	11.1601648330688	3	-2.36415062057972	5.58920815678747	
201.4871_2	725248	6176396	7.55330514907837	3	-0.98929768831253	0.978709916100517	
201.4872_2	725220	6176508	11.7673559188843	3	-1.76261808576584	3.10682251626883	
