OBS_ID	X	Y	Depth	LAYER	OBS_VALUE	DATO	SIM_VALUE_INTP	SIM_VALUE_CELL	ME	ME^2	#DRY_CELLS	#BOUNDARY_CELLS	COLUMN	ROW	COMMENT
201.5857_1	721165.22	6181636.89	5.41829252243042	1	14.78	01-08-2013	19.1960000093249	19.0103168487549	-4.41600000932487	19.5010560823573	0	0	212	293	
201.5859_1	721189.15	6181611.95	5.41829252243042	1	16.18	02-08-2013	18.9730630660081	19.0103168487549	-2.79306306600815	7.80120129069884	0	0	212	293	
201.5939_1	723619	6183067	3.18578910827637	1	6	27-08-2013	9.5650370084362	7.85774087905884	-3.5650370084362	12.7094888715198	0	0	217	296	
201.5943_1	723632	6183041	3.18578910827637	1	6.2	28-08-2013	9.49086968903732	7.85774087905884	-3.29086968903732	10.8298233102246	0	0	217	296	
201.5944_1	723635	6183073	3.18578910827637	1	5.9	29-08-2013	9.39053359730721	7.85774087905884	-3.49053359730721	12.1838247939304	0	0	217	296	
201.5945_1	723628	6183074	3.18578910827637	1	6	30-08-2013	9.4589127610321	7.85774087905884	-3.4589127610321	11.9640774884307	0	0	217	296	
201.5946_1	723622	6183079	3.18578910827637	1	6	31-08-2013	9.50841322159576	7.85774087905884	-3.50841322159576	12.308963333468	0	0	217	296	
201.5947_1	723625	6183094	3.18578910827637	1	5.9	01-09-2013	9.44525333213806	7.85774087905884	-3.54525333213806	12.568821189036	0	0	217	296	
201.5949_1	723642	6183068	3.18578910827637	1	5.6	02-09-2013	9.3308788213501	7.85774087905884	-3.7308788213501	13.9194567795987	0	0	217	296	
201.5950_1	723650	6183072	3.18578910827637	1	5.6	03-09-2013	9.24148538284302	7.85774087905884	-3.64148538284302	13.2604157934594	0	0	217	296	
201.5961_1	725758	6178487	2.25181186199188	1	0.05	05-09-2013	1.99212364391174	2.55247354507446	-1.94212364391174	3.77184424824101	0	2	221	286	
201.5962_1	725789	6178486	2.25181186199188	1	-0.45	06-09-2013	1.99740970508825	2.55247354507446	-2.44740970508825	5.98981426456014	0	2	221	286	
201.5963_1	725799	6178426	2.25181186199188	1	-0.45	07-09-2013	2.35664014331786	2.55247354507446	-2.80664014331786	7.87722889408333	0	2	221	286	
201.6056_1	718268	6181616	3.31360149383545	1	21.5	10-09-2013	24.0830240203857	24.9848194122314	-2.58302402038574	6.67201308988973	0	0	206	293	
201.6057_1	718273	6181628	3.31360149383545	1	21.4	11-09-2013	24.1772585235596	24.9848194122314	-2.77725852355957	7.71316490668429	0	0	206	293	
201.6061_1	718262	6181633	3.31360149383545	1	20.9	12-09-2013	24.1938859008789	24.9848194122314	-3.29388590087891	10.8496843280089	0	0	206	293	
201.6074_1	722790	6177953	2.81737041473389	1	5	15-09-2013	8.46492085300446	7.99447011947632	-3.46492085300446	12.0056765175851	0	0	215	285	
201.6077_1	722769.99	6177956	2.81737041473389	1	4.7	16-09-2013	8.44357482260256	7.99447011947632	-3.74357482260256	14.0143524524238	0	0	215	285	
201.6277_1	720656.07	6181557.65	4.17429637908936	1	17.1	18-10-2013	22.7592535558579	22.3149356842041	-5.65925355585789	32.0271508094902	0	0	211	293	
201.6477_1	718345	6181809	3.31360149383545	1	20	20-10-2013	25.9058239220047	24.9848194122314	-5.9058239220047	34.878756197723	0	0	206	293	
201.6595_1	719867	6186138	4.6373119354248	1	18.54	27-10-2013	22.8807922060547	22.3846454620361	-4.34079220605469	18.8424769761451	0	0	209	302	
201.6630_1	724610	6181039	1.16709399223328	1	0.3	28-10-2013	3.63288707312562	0	-3.33288707312562	11.1081362422079	0	1	219	292	
201.6632_1	724624	6181058	1.16709399223328	1	0.5	29-10-2013	3.62583869820832	0	-3.12583869820832	9.77086756721668	0	1	219	292	
204.181_1	643914	6170571	2.82437348365784	1	4	07-11-2013	6.39736951289368	5.42848539352417	-2.39736951289368	5.74738058135207	0	0	57	271	
204.516_1	645236	6170934	5.89803743362427	1	9.31	15-11-2013	5.41989062490845	5.73408269882202	3.89010937509155	15.1329509501752	0	0	60	271	
204.517_1	645174	6171139	6.83289527893066	1	2.61	16-11-2013	4.98804508176422	4.92523956298828	-2.37804508176422	5.655098410903	0	0	60	272	
204.518_1	645102	6170904	5.89803743362427	1	3.28	17-11-2013	5.31781991612244	5.73408269882202	-2.03781991612244	4.15271001054526	0	0	60	271	
204.568_1	657433.67	6170006.24	1.75521278381348	1	21.065	19-11-2013	19.0263895952278	17.1408157348633	2.03861040477223	4.15593238244559	1	0	84	270	
205.328_1	665227	6166644	19.4963359832764	1	29.77	26-11-2013	41.3358523979187	41.4545402526855	-11.5658523979187	133.768941690442	0	0	100	263	
205.626_1	670450	6171966	2.87968444824219	1	32.292	08-12-2013	36.7209373474121	39.7328147888184	-4.42893734741211	19.6154860273018	0	0	110	273	
205.767_1	671018	6158661	7.62934303283691	1	30.73	10-12-2013	38.0527993509521	37.3261642456055	-7.32279935095215	53.6233903343052	0	0	112	247	
205.769_1	671001	6158670	7.62934303283691	1	30	11-12-2013	37.9063613061523	37.3261642456055	-7.90636130615234	62.510549103423	0	0	112	247	
206.1712_1	690783.6	6159903.8	4.15134906768799	1	37.1	16-02-2014	37.2652502019631	37.4256744384766	-0.165250201963119	0.0273076292488515	0	0	151	249	
212.1365_1	682842	6142788	1.09564399719238	1	34.1	02-03-2015	35.0196914672852	35.0196914672852	-0.919691467285155	0.845832394997121	3	0	135	215	
214.939_1	634058	6135455	2.64346867799759	1	0.1	27-04-2015	0.494295593795178	0.186726674437523	-0.394295593795178	0.155469015286292	0	1	38	200	
214.959_1	634139	6135661	3.16719126701355	1	0.495	28-04-2015	0.995720103405193	1.04417204856873	-0.500720103405193	0.250720621954107	0	1	38	201	
214.960_1	634103	6135683	3.16719126701355	1	0.4	29-04-2015	0.974719281680569	1.04417204856873	-0.574719281680569	0.33030225273543	0	1	38	201	
217.1119_1	683790	6128525	3.56920433044434	1	52	24-05-2015	50.1334481430054	46.2101173400879	1.86655185699463	3.48401583485009	0	0	137	187	
217.982_1	690294	6130458	11.6863775253296	1	56.7	11-06-2015	42.2370610796708	41.1762313842773	14.4629389203292	209.176602213172	1	0	150	190	
221.1110_1	675414	6124661	2.37995445728302	1	6.5	03-08-2015	7.44789479119873	6.13414430618286	-0.94789479119873	0.898504535181685	0	0	120	179	
221.1123_1	680302.73	6120491.32	8.70492076873779	1	19	04-08-2015	16.2796944913341	8.95935249328613	2.72030550866591	7.40006206047809	0	0	130	170	
221.1124_1	680201.76	6120539.35	4.02982234954834	1	22.1	05-08-2015	16.5445851615411	23.307300567627	5.55541483845893	30.8626340273697	0	0	130	171	
221.1138_1	675365	6124655	2.37995445728302	1	6	06-08-2015	7.02758768253326	6.13414430618286	-1.02758768253326	1.05593644529408	0	0	120	179	
226.1104_1	684416.77	6101872.52	2.59558391571045	1	3.5	24-08-2015	5.7399415911934	5.11016130447388	-2.2399415911934	5.01733833195802	0	0	138	133	
226.1123_1	684482	6101852	2.59558391571045	1	4.2	25-08-2015	5.87387471234131	5.11016130447388	-1.67387471234131	2.8018565526157	0	0	138	133	
226.1148_1	683744	6102294	1.97947131097317	1	-0.2	26-08-2015	3.28570881164551	3.2149338722229	-3.48570881164551	12.1501659195831	0	0	137	134	
226.1179_1	684609	6101294	1.2237137556076	1	6.3	27-08-2015	5.64757684924155	5.63986015319824	0.652423150758449	0.425655967645582	1	0	139	132	
226.1182_1	685024	6102344	1.21889686584473	1	9	28-08-2015	9.70748770729832	10.6397838592529	-0.707487707298316	0.500538855978228	2	0	140	134	
226.88_1	689291	6111440	13.0214338302612	1	7.07	04-09-2015	12.8373952893829	11.5511541366577	-5.76739528938293	33.2628484239965	0	0	148	152	
182.385_1	710609	6221089	19.4658079147339	3	9.11	02-01-2007	4.58640593608475	4.53965330123901	4.52359406391525	20.4629032550893	0	0	191	372	
182.386_1	710609	6221089	19.4658079147339	3	9.07	03-01-2007	4.58640593608475	4.53965330123901	4.48359406391525	20.1026157299761	0	0	191	372	
182.387_1	710608	6221089	19.4658079147339	3	9	04-01-2007	4.58556729529572	4.53965330123901	4.41443270470428	19.4872161043628	0	0	191	372	
182.388_1	710531	6221107	19.4658079147339	3	9.5	05-01-2007	4.51415874539566	4.53965330123901	4.98584125460434	24.8586130161146	0	0	191	372	
182.389_1	710531	6221107	19.4658079147339	3	9.22	06-01-2007	4.51415874539566	4.53965330123901	4.70584125460434	22.1449419135362	0	0	191	372	
183.58_2	718995	6219488	19.9678263664246	3	21	09-01-2007	10.0905245561929	10.3338785171509	10.9094754438071	119.01665445903	1	0	207	368	
183.59_1	718918	6219369	19.9678263664246	3	14.2	10-01-2007	10.2220892861557	10.3338785171509	3.97791071384426	15.823773647317	1	0	207	368	
183.59_2	718918	6219369	19.9678263664246	3	14.2	11-01-2007	10.2220892861557	10.3338785171509	3.97791071384426	15.823773647317	1	0	207	368	
183.59_3	718918	6219369	19.9678263664246	3	14.2	12-01-2007	10.2220892861557	10.3338785171509	3.97791071384426	15.823773647317	1	0	207	368	
183.60_1	717739	6219300	18.5523293018341	3	29.97	13-01-2007	11.1976324068069	11.2538194656372	18.7723675931931	352.401785053965	0	0	205	368	
186.725_1	689375	6209897	17.9578356742859	3	3.09	17-01-2007	3.8368059040308	3.87637710571289	-0.7468059040308	0.557719058295261	0	0	148	349	
186.726_1	689374	6209897	17.9578356742859	3	1.1	18-01-2007	3.83723546183777	3.87637710571289	-2.73723546183777	7.49245797354222	0	0	148	349	
186.728_1	691762	6206666	18.981321811676	3	3.9	19-01-2007	4.2560813762207	4.22316694259644	-0.356081376220704	0.12679394649123	0	0	153	343	
186.733_1	685499.33	6211676.46	5.13406109809875	3	2.99	20-01-2007	1.47090778862009	1.21608543395996	1.51909221137991	2.30764114667511	0	0	140	353	
186.761_2	691466	6206475	25.6740872859955	3	5	22-01-2007	4.39208498687744	4.62194728851318	0.607915013122558	0.3695606631798	0	0	152	342	
186.764_1	691326	6206567	16.4725241661072	3	6.2	23-01-2007	4.34380599966431	4.1948881149292	1.85619400033569	3.44545616688223	0	0	152	343	
