NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
214.960_1	634103	6135683	-4.47	0.4	29-04-2015	1
217.1119_1	683790	6128525	45.2	52	24-05-2015	1
217.982_1	690294	6130458	42.4988	56.7	11-06-2015	1
221.1110_1	675414	6124661	6	6.5	3-08-2015	1
221.1123_1	680302.73	6120491.32	17.77	19	4-08-2015	1
221.1124_1	680201.76	6120539.35	23.74	22.1	5-08-2015	1
221.1138_1	675365	6124655	3.4	6	6-08-2015	1
226.1104_1	684416.77	6101872.52	2.6	3.5	24-08-2015	1
226.1123_1	684482	6101852	3.2	4.2	25-08-2015	1
226.1148_1	683744	6102294	-2.4	-0.2	26-08-2015	1
226.1179_1	684609	6101294	3.5	6.3	27-08-2015	1
226.1182_1	685024	6102344	9.873	9	28-08-2015	1
226.88_1	689291	6111440	-14.5	7.07	4-09-2015	1
182.384_3	710580	6221081	-2.5	5	1-01-2007	3
182.385_1	710609	6221089	-8.25	9.11	2-01-2007	3
182.386_1	710609	6221089	-0.75	9.07	3-01-2007	3
182.387_1	710608	6221089	6.45	9	4-01-2007	3
182.388_1	710531	6221107	3.25	9.5	5-01-2007	3
182.389_1	710531	6221107	-2.25	9.22	6-01-2007	3
183.58_2	718995	6219488	8.9	21	9-01-2007	3
183.59_1	718918	6219369	13.05	14.2	10-01-2007	3
183.59_2	718918	6219369	13.05	14.2	11-01-2007	3
183.59_3	718918	6219369	13.05	14.2	12-01-2007	3
183.60_1	717739	6219300	7.7	29.97	13-01-2007	3
186.725_1	689375	6209897	0.35	3.09	17-01-2007	3
186.726_1	689374	6209897	0.95	1.1	18-01-2007	3
186.728_1	691762	6206666	5.05	3.9	19-01-2007	3
186.733_1	685499.33	6211676.46	-3	2.99	20-01-2007	3
186.761_2	691466	6206475	0.29	5	22-01-2007	3
186.764_1	691326	6206567	5.33	6.2	23-01-2007	3
186.765_1	691320	6206892	5.04	6.1	24-01-2007	3
186.766_1	691422	6206794	10.1229	5.5	25-01-2007	3
186.768_1	691421	6206844	4.03	5.1	26-01-2007	3
186.769_1	691521	6206821	4.01	5.3	27-01-2007	3
186.770_1	691520	6206896	3.47	5.2	28-01-2007	3
186.771_1	691518	6206996	3.88	5.17	29-01-2007	3
187.1385_1	708456.9	6215992	31.8452	37.23	8-02-2007	3
188.921_1	719043	6211627	16.45	26.4214	14-02-2007	3
190.31_1	656382	6191896	-8.5	0.1069	16-02-2007	3
192.1044_1	690038	6190934	-6.3	-0.83	19-02-2007	3
192.1045_1	690038	6190844	0.1	2.47	20-02-2007	3
192.1046_1	690158	6190854	-4.7	-1.09	21-02-2007	3
192.1047_1	690138.41	6190933.76	-7.1	-4.78	22-02-2007	3
192.1063_1	698288	6189864	10	16.5	25-02-2007	3
192.1063_2	698288	6189864	16	16.48	26-02-2007	3
192.1069_1	696617	6191736	5.07	10.59	27-02-2007	3
192.912_1	697788	6188524	13.7	14.88	6-03-2007	3
192.941_1	685101	6198993	-14.4	3.89	10-03-2007	3
192.946_2	696508	6191971	6.34	9.86	12-03-2007	3
193.1372_1	714739	6193562	23.3	31.63	13-03-2007	3
193.1373_1	714380	6193492	27.8	31.7	14-03-2007	3
193.1396_2	705786	6196834	23.3	32.78	19-03-2007	3
193.1440_1	711445	6190739	19.55	26.3	22-03-2007	3
193.1445_1	711528	6190366	15.6	26.9	24-03-2007	3
193.1446_1	703844	6192558	26.5	28.37	25-03-2007	3
193.1450_1	702919.37	6194470.79	10	33.23	26-03-2007	3
193.1452_2	715325	6194538	27.7	30.77	28-03-2007	3
193.1478_1	715362	6193739	28.65	31.9	30-03-2007	3
193.1484_1	715334	6193858	28.56	32.4367	2-04-2007	3
193.1486_1	712453	6195529	30.9	32.0633	3-04-2007	3
193.1488_1	712577	6195603	27.8	32.2267	4-04-2007	3
193.1490_1	712438	6195547	31.5	32.79	5-04-2007	3
