NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
200.4925_1	703088	6174623	16.5	17.76	5-05-2012	3
200.4942_1	703853	6185994	5.4127	10.06	9-05-2012	3
200.4967_1	717778.17	6184135.95	15.4	21.91	17-05-2012	3
200.4967_2	717778.17	6184135.95	20.4	26.13	18-05-2012	3
200.4976_2	700832	6185264.14	10.15	10.71	24-05-2012	3
200.5026_1	716800.15	6184252.78	17.88	20.1967	29-05-2012	3
200.5027_1	716762.52	6184666.59	16.05	20.1	30-05-2012	3
200.5028_1	716981.22	6184886.09	15.46	20.112	31-05-2012	3
200.5032_1	717547.67	6188011.5	29.57	19.71	1-06-2012	3
200.5042_1	711108	6181359	13.3	14.92	5-06-2012	3
200.5083_1	708342.42	6184953.21	-0.22	10.755	9-06-2012	3
200.5089_1	712668	6175149	13.2484	14.06	10-06-2012	3
200.5100_1	712528	6175874	13.8	13.995	17-06-2012	3
200.5105_1	701814	6181657.84	-9.53	2.97	22-06-2012	3
200.5115_1	712976	6185218	3.1	16.285	23-06-2012	3
200.5117_1	716837.09	6184743.02	13.6996	20.07	24-06-2012	3
200.5117_2	716837.09	6184743.02	11.62	20.1	25-06-2012	3
200.5118_1	716775.24	6184728.09	4.15	19.9	26-06-2012	3
200.5118_2	716775.24	6184728.09	14.15	20	27-06-2012	3
200.5119_2	700617	6185227	8.9256	8.74	29-06-2012	3
200.5120_2	700539	6185195	7.303	8.49	1-07-2012	3
200.5122_1	716567.68	6183929.04	23.14	20.485	3-07-2012	3
200.5123_1	716576.66	6183915.89	19.13	20.475	4-07-2012	3
200.5124_1	716599.3	6183934.56	18.68	20.49	5-07-2012	3
200.5125_1	716591.61	6183898.55	19.71	20.36	6-07-2012	3
200.5126_1	716540.51	6183940.98	18.36	20.52	7-07-2012	3
200.5127_1	716555.1	6183897.44	18.51	20.27	8-07-2012	3
200.5133_2	700539	6185278	7.9	8.51	10-07-2012	3
200.5134_3	700710	6185255	10.1	11.25	12-07-2012	3
200.5135_2	700693	6185164	7.6997	9.115	13-07-2012	3
200.5136_2	700517	6185149	7	8.76	15-07-2012	3
200.5139_1	712303	6176122	13.59	13.7	17-07-2012	3
200.5145_2	707155	6174820	7.4	12.69	23-07-2012	3
200.5146_1	716858.87	6184722.1	13.17	20.02	24-07-2012	3
200.5180_1	712969.57	6185221.07	2.9	15.4	26-07-2012	3
200.5181_1	712045	6173851	7.02	9.4967	27-07-2012	3
200.5182_1	712025	6173898	7.09	9.7667	28-07-2012	3
200.5183_1	712015	6173847	7.1	9.5367	29-07-2012	3
200.5196_1	709406.35	6186458.48	0.37	12.115	5-08-2012	3
200.5197_1	709266.38	6186793.63	10.84	13.85	6-08-2012	3
200.5199_1	708297.53	6187735.28	10.07	14.96	7-08-2012	3
200.5207_1	716792	6180013	-10.1	10.27	8-08-2012	3
200.5208_1	716296.54	6184605.59	7.4	19.4625	9-08-2012	3
200.5216_1	717008	6176264	5.7396	11.3	10-08-2012	3
200.5218_1	714798.83	6175518.29	9.508	12.7	11-08-2012	3
200.5219_1	714763.94	6175562.02	9.508	12.6	12-08-2012	3
200.5220_1	714807.2	6175597.42	9.8348	12.8	13-08-2012	3
200.5250_2	716351	6181173	7.8	13.14	18-08-2012	3
200.5259_1	710055	6175111	11.25	13.4	20-08-2012	3
200.5260_1	710069	6175143	10.85	12.9	21-08-2012	3
200.5264_1	710805.8	6186982.8	9.02	14.3	22-08-2012	3
200.5268_1	710829.37	6186996.08	8.76	14.7	23-08-2012	3
200.5282_1	710065.09	6182864.21	11.87	19.3	24-08-2012	3
200.5289_1	700797	6185569	10.2	13.52	25-08-2012	3
200.5289_2	700797	6185569	11.9086	14.715	26-08-2012	3
200.5290_2	700788	6185581	9.62	12.08	29-08-2012	3
200.5290_3	700788	6185581	13.32	13.9	30-08-2012	3
200.5291_2	700772	6185580	10.17	12.08	1-09-2012	3
200.5291_3	700772	6185580	11.9086	14.86	2-09-2012	3
200.5292_2	700777	6185562	9.96	12	4-09-2012	3
200.5292_3	700777	6185562	11.9086	14.46	5-09-2012	3
200.5293_1	700884	6185796	11.8809	11.89	6-09-2012	3
200.5293_2	700884	6185796	12.29	13.5	7-09-2012	3
200.5294_1	700791	6185568	10.92	11.875	8-09-2012	3
200.5294_2	700791	6185568	13.27	13.44	9-09-2012	3
200.5295_2	700798	6185556	9.65	11.8	11-09-2012	3
200.5295_3	700798	6185556	12.55	13.185	12-09-2012	3
200.5296_1	700786	6185550	9.93	11.755	13-09-2012	3
200.5296_2	700786	6185550	11.9086	14.285	14-09-2012	3
200.5303_1	700779	6185573	10.52	11.91	18-09-2012	3
200.5303_2	700779	6185573	13.77	14.62	19-09-2012	3
200.5304_1	700779	6185577	11.9086	14.825	20-09-2012	3
200.5305_2	700798	6185545	11.9086	11.975	22-09-2012	3
200.5305_3	700798	6185545	14.06	13.745	23-09-2012	3
200.5316_1	703736	6184748	-0.8	8.9	25-09-2012	3
200.5316_2	703736	6184748	6.7	8.9	26-09-2012	3
200.5317_2	703758	6184680	9.8	11.4	28-09-2012	3
200.5330_1	713481.53	6181111.33	14.85	17	29-09-2012	3
200.5331_1	713498.19	6181106.96	14.86	16.97	30-09-2012	3
200.5332_1	713465.65	6181049.44	14.76	16.92	1-10-2012	3
200.5333_1	713457.74	6181090.99	14.56	17.28	2-10-2012	3
200.5334_1	713482.09	6181027.56	14.75	16.96	3-10-2012	3
200.5395_1	713435	6181037	14.55	12.9	8-10-2012	3
200.5398_1	707852	6185681.9	3.5	3.2	9-10-2012	3
200.5399_1	708773.52	6183954.28	0.27	15.02	10-10-2012	3
200.5400_1	713336.4	6184290.86	5.83	18.72	11-10-2012	3
200.5493_2	710663	6181534	12.6	12.5	19-10-2012	3
200.5498_1	716867	6179975	-6.1	5.9	21-10-2012	3
200.5500_1	717755	6184121	21.7	21	23-10-2012	3
200.5505_1	709659.89	6185603.17	-6.01	16.83	24-10-2012	3
200.5529_2	700893	6185534	10.05	11.16	26-10-2012	3
200.5530_1	700926	6185536	10.7	11.27	27-10-2012	3
200.5530_2	700926	6185536	14	13.86	28-10-2012	3
200.5531_2	700917	6185517	9.66	11.22	30-10-2012	3
200.5541_1	700926	6185531	13.6	13.8	31-10-2012	3
200.687B_1	701731	6183111	-15.58	5.9	13-11-2012	3
200.702_1	700541	6183149	-11.84	3.48	17-11-2012	3
200.723_1	700444	6182990	-27.43	3.37	19-11-2012	3
200.735_1	699481	6183059	-12.41	3.52	20-11-2012	3
201.3689_1	722574.35	6185173.2	0.3	11.8	18-12-2012	3
201.3746_1	721338	6180766	-15.3	12.8	26-12-2012	3
201.3757_1	719819.76	6187001.88	-0.05	19.3	28-12-2012	3
201.3760_1	720924.86	6188470.33	-3.93	16.23	29-12-2012	3
201.3760_2	720924.86	6188470.33	5.07	15.54	30-12-2012	3
201.3788_1	718492.95	6181688.78	5.78	20.45	2-01-2013	3
201.3795_1	718871.21	6182793.8	-1.24	22.4967	4-01-2013	3
201.3795_2	718871.21	6182793.8	5.76	21.12	5-01-2013	3
201.3796_1	718239.13	6182396.41	2.42	21.426	6-01-2013	3
201.3796_2	718239.13	6182396.41	16.82	21.4375	7-01-2013	3
201.3797_2	719410.55	6182526.25	10.08	22.905	8-01-2013	3
201.3797_3	719410.55	6182526.25	16.08	29.225	9-01-2013	3
201.3819_1	720931.81	6188489.27	5	15.9	12-01-2013	3
201.3821_3	721438	6178076	-1.85	3.3	15-01-2013	3
201.3823_2	722565	6178031	-4.55	6.3	19-01-2013	3
201.3854_1	722032	6177326	-9.6	2.35	31-01-2013	3
201.3873_1	720881.13	6186131.09	6.05	19.76	2-02-2013	3
201.3880_1	718555.19	6181780.88	3.96	20.69	4-02-2013	3
201.3933_2	722567	6178037	-4.55	4.7	6-02-2013	3
201.3934_1	722190	6179047	-4.82	4.475	7-02-2013	3
201.4760_3	721435	6178066	-1.84	5.4	9-02-2013	3
201.5117_1	720480.05	6187006.61	2.4	15	14-02-2013	3
201.5117_2	720480.05	6187006.61	11.4	15	15-02-2013	3
201.5137_1	719339.11	6185060.4	19.85	22.59	18-02-2013	3
201.5140_1	724330.5	6174613.52	-6.75	-1.9	19-02-2013	3
201.5141_1	724330.26	6174626.02	-6.6	-2.49	20-02-2013	3
201.5142_1	724195	6174510.84	-6.5	-0.5	21-02-2013	3
201.5143_1	724170.01	6174510.34	-5.15	-0.29	22-02-2013	3
201.5144_1	724170.5	6174485.35	-4.5	-0.52	23-02-2013	3
201.5145_1	724195.5	6174485.84	-5.5	-1.08	24-02-2013	3
201.5146_1	719757.31	6184786.17	21.15	22.6	25-02-2013	3
201.5148_1	719002.38	6181977.56	17.3	21.31	26-02-2013	3
201.5153_1	718966.64	6182164.51	21.1	21.4	27-02-2013	3
201.5154_1	718983.68	6182094.67	20.93	20.74	28-02-2013	3
201.5161_1	725902	6174272	-6.5779	-3.33	2-03-2013	3
201.5162_1	725937	6174415	-6.8157	-3.2	3-03-2013	3
201.5175_1	722458	6180924	-5.485	13.38	4-03-2013	3
201.5192_1	719091.07	6182004.67	17.41	21.52	9-03-2013	3
201.5204_2	725010.47	6175001.98	-4.55	-0.22	11-03-2013	3
201.5206_2	725010.47	6175001.98	-4.95	-0.25	13-03-2013	3
201.5210_1	718975.03	6182135.02	17.91	21.67	15-03-2013	3
201.5210_2	718975.03	6182135.02	13.91	21.67	16-03-2013	3
201.5210_3	718975.03	6182135.02	21.41	21.72	17-03-2013	3
201.5210_4	718975.03	6182135.02	21.41	21.75	18-03-2013	3
201.5211_1	718969.21	6182126.18	17.76	21.73	19-03-2013	3
201.5211_2	718969.21	6182126.18	13.76	21.63	20-03-2013	3
201.5211_3	718969.21	6182126.18	21.26	22.05	21-03-2013	3
201.5211_4	718969.21	6182126.18	21.26	31.7	22-03-2013	3
201.5231_2	723009.39	6175037.61	0.766	0.82	27-03-2013	3
201.5274_1	723992	6185152	5.7	5.8	12-04-2013	3
201.5275_1	724050	6185120	5.4	5.7	13-04-2013	3
201.5276_1	724179.17	6184956.95	0.3	5.7	14-04-2013	3
201.5277_1	724126.1	6185170.31	-6.24	5.765	15-04-2013	3
201.5278_1	724125.14	6185170.06	-0.89	5.65	16-04-2013	3
201.5279_1	724148	6185103	-7.3	5.6	17-04-2013	3
201.5280_1	724148	6185102	-1.5	5.6	18-04-2013	3
201.5281_1	724058	6185126	-7.3	5.7	19-04-2013	3
201.5282_1	724058	6185126	-1.3	5.8	20-04-2013	3
201.5284_1	724275.44	6185177.25	-2.35	5.46	21-04-2013	3
201.5285_1	724301.19	6185045.42	-7.96	5.4	22-04-2013	3
201.5286_1	724300.16	6185045.23	-2.59	5.345	23-04-2013	3
201.5291_1	724083	6185141	4.9	5.7	24-04-2013	3
201.5293_2	718468.05	6182308.04	8.39	21.38	26-04-2013	3
201.5307_1	724132.1	6185263.35	4.95	4.9	15-05-2013	3
201.5308_1	724132.1	6185263.35	4.9	5	16-05-2013	3
201.5310_1	724132.1	6185263.35	4.95	5	17-05-2013	3
201.5326_1	722180.08	6183821.84	2.53	11.55	22-05-2013	3
201.5327_1	722189.35	6183810.68	-0.66	11.7	23-05-2013	3
201.5327_2	722189.35	6183810.68	0.84	11.7	24-05-2013	3
201.5346_1	719884.73	6184886.68	-4.59	22.7	25-05-2013	3
201.5346_2	719884.73	6184886.68	5.91	22.69	26-05-2013	3
201.5348_1	719815.26	6184863.04	-4.83	22.51	27-05-2013	3
201.5348_2	719815.26	6184863.04	4.67	22.53	28-05-2013	3
201.5373_1	721077.54	6181547.19	-10.65	12.29	29-05-2013	3
201.5376_1	724596.5	6185517.48	2.37	4.66	31-05-2013	3
201.5377_1	724609.66	6185521.31	-0.114	5.13	1-06-2013	3
201.5378_1	724612.92	6185513.76	1.66	2.78	2-06-2013	3
201.5385_1	724323.74	6185348.46	4.62	5.285	4-06-2013	3
201.5419_1	719673.13	6182830.13	8.45	22.8	7-06-2013	3
201.5420_1	719859.93	6184862.8	20.71	22.56	8-06-2013	3
201.5421_1	719864.29	6184853.46	-5.01	24.84	9-06-2013	3
201.5421_2	719864.29	6184853.46	5.64	22.61	10-06-2013	3
201.5422_1	719760	6184841	22.3	24.1	11-06-2013	3
201.5423_1	719831.55	6184790.48	-4.33	22.74	12-06-2013	3
201.5423_2	719831.55	6184790.48	10.87	22.745	13-06-2013	3
201.5425_1	719832.57	6184741.42	20.21	22.76	15-06-2013	3
201.5426_1	719798.27	6184741.14	19.08	22.32	16-06-2013	3
201.5427_1	719861.68	6184846.86	18.16	24.835	17-06-2013	3
201.5428_1	719685.23	6184708.47	21.72	22.78	18-06-2013	3
201.5429_1	719625.45	6184823.75	19.605	22.715	19-06-2013	3
201.5430_1	719961.94	6184694.9	19.23	24.775	20-06-2013	3
201.5431_1	719646.44	6184846.96	20.09	23.47	21-06-2013	3
201.5447_1	718398.38	6188571.35	16.8	21.14	23-06-2013	3
201.5448_1	718395.9	6188570.44	11.57	16.38	24-06-2013	3
201.5449_1	718385.99	6188584.66	11.87	19.205	25-06-2013	3
201.5544_1	719739.06	6182726.46	10.52	23.025	26-06-2013	3
201.5545_1	719829.34	6182832.22	7.57	22.835	27-06-2013	3
201.5673_1	719809.24	6182778.82	10.1	22.985	29-06-2013	3
201.5686_1	720036.67	6182653.02	8.69	22.7967	2-07-2013	3
201.5693_1	720067.4	6182732.13	8.16	22.605	4-07-2013	3
201.5694_1	722192.09	6183822.77	-1.6529	11.59	5-07-2013	3
201.5699_1	719917.7	6182614.62	10.86	22.935	6-07-2013	3
201.5704_1	720179.4	6182490.19	10.66	22.51	8-07-2013	3
201.5706_1	722298.86	6183532.53	-3.96	11.76	9-07-2013	3
201.5706_2	722298.86	6183532.53	9.84	11.695	10-07-2013	3
201.5707_1	722319.39	6183514.46	9.83	11.68	11-07-2013	3
201.5708_1	722248.08	6183519.07	9.34	11.71	12-07-2013	3
201.5718_1	719891.03	6182697.09	18.49	22.9	19-07-2013	3
201.5743_1	719953	6182994	16.3	24	20-07-2013	3
201.5745_1	719993.18	6182786.54	15.79	22.805	21-07-2013	3
201.5763_1	724462	6185218	4.9	5.1	28-07-2013	3
201.5871_1	720643.1	6176529.7	-4.3	-2.96	3-08-2013	3
201.5872_1	720598.2	6176523.8	-2	0.7	4-08-2013	3
201.5874_1	720668.8	6176557.5	-2.65	0.585	6-08-2013	3
201.5876_1	720668.8	6176557.5	-4.125	-2.97	8-08-2013	3
201.5885_1	727026	6174697	-6.6438	-0.76	10-08-2013	3
201.5886_1	727158	6174821	-5.5	-0.82	11-08-2013	3
201.5896_1	718345.96	6182104.38	5.9	20.7	12-08-2013	3
201.5898_1	728245.85	6174366.96	-6.3915	-0.8	13-08-2013	3
201.5899_1	728265.27	6174346.34	-6.6	0.3	14-08-2013	3
201.5901_1	728272.82	6174318.47	-6.7	-0.8	15-08-2013	3
201.5903_1	728065.42	6174486.45	-7.5	-1.02	16-08-2013	3
201.5905_1	728263.06	6174306.27	-6.8	-0.3	17-08-2013	3
201.5931_1	728499.13	6173851.75	-5.9904	-1.3	18-08-2013	3
201.5932_1	722952.33	6183611	4.35	9.6	19-08-2013	3
201.5933_1	722992.33	6183583.84	3.8	9.55	20-08-2013	3
201.5934_1	725839.87	6178417.1	-7	-4.8	21-08-2013	3
201.5935_1	722215.1	6178990.6	-6.9	4.065	22-08-2013	3
201.5935_2	722215.1	6178990.6	-0.8	3.95	23-08-2013	3
201.5936_1	723688	6183058	-6.2884	4.9	24-08-2013	3
201.5957_1	725841	6178489	-4.85	-1.4	4-09-2013	3
201.6006_1	720829	6177370	-3.5	-2.35	8-09-2013	3
201.6019_1	722954	6178212	3	6	9-09-2013	3
201.6079_1	721854.99	6179002.01	-3.88	-2.4	17-09-2013	3
201.6080_1	721849.01	6179031	-3.22	-1.7	18-09-2013	3
201.6081_1	721847	6179024.01	-3.74	-3.6	19-09-2013	3
201.6082_1	721849.99	6179012.01	-3.94	-5.7	20-09-2013	3
201.6099_1	721638	6179023.01	-4.04	-2	21-09-2013	3
201.6100_1	721627.99	6179020.01	-2.44	-2	22-09-2013	3
201.6101_1	721632	6178864.01	-3.63	-4.2	23-09-2013	3
201.6102_1	721635.99	6178865.99	-3.97	-2.2	24-09-2013	3
201.6103_1	721659.01	6178854.01	-3.6	-2.6	25-09-2013	3
201.6104_1	721661.01	6178845.02	-4.03	-4.7	26-09-2013	3
201.6116_1	722925	6178265	1.0863	5.2	27-09-2013	3
201.6116_2	722925	6178265	-2	5.96	28-09-2013	3
201.6116_3	722925	6178265	3	5.94	29-09-2013	3
201.6117_1	722907	6178223	1.4	5.35	30-09-2013	3
201.6118_2	722888	6178191	-2.5	5.25	1-10-2013	3
201.6118_3	722888	6178191	1.5	5.19	2-10-2013	3
201.6161_1	718785.84	6183186.24	21.12	22.79	7-10-2013	3
201.6162_1	718769.86	6183201.83	21.7	23.11	8-10-2013	3
201.6163_1	718752.85	6183212.71	21.72	22.85	9-10-2013	3
201.6182_1	725232.08	6176521.02	-7.45	0.55	10-10-2013	3
201.6183_2	725471.13	6176529.6	-3.8	0.4	12-10-2013	3
201.6188_1	725877	6174444	-5.6	-0.92	13-10-2013	3
201.6237_1	720000.9	6179015.7	6.2	13.52	15-10-2013	3
201.6250_1	724326	6185342	6.3	6.1	17-10-2013	3
201.6511_1	723456	6176553	-1.3228	1.8	21-10-2013	3
201.6511_2	723456	6176553	1.1	1.75	22-10-2013	3
201.6520_1	723421	6176398	0.5178	3.53	24-10-2013	3
201.6534_1	725558	6176465	-5.5	-0.3	26-10-2013	3
201.6646_1	721044	6176059	4.7681	10.38	30-10-2013	3
201.6707_1	718140	6182672	3.33	22.67	31-10-2013	3
201.6707_2	718140	6182672	17.33	20.658	1-11-2013	3
204.142_1	646732	6171858	-4	5.5	5-11-2013	3
204.257_1	654866.44	6168294.78	15.09	36.14	10-11-2013	3
204.31B_1	651504	6170383.73	-0.5	24	11-11-2013	3
204.332_1	644678	6169285	-5.8	9.67	12-11-2013	3
204.348_1	646198	6172043	-5	4.46	13-11-2013	3
204.38A_1	650161	6157450	30	39	14-11-2013	3
205.140_1	671172	6168193	16.5	37.5313	20-11-2013	3
205.214_1	675797	6165760	24.4	38.9833	22-11-2013	3
205.216_1	679100	6167535	29.6	38.2	23-11-2013	3
205.220_1	678214	6164388	27.1	42.5	24-11-2013	3
205.412_1	662930	6164869	7.45	27.38	28-11-2013	3
205.433_1	680449	6170237	29.5	36.7	30-11-2013	3
205.449_1	674964	6168483	5.64	31.28	2-12-2013	3
205.45B_1	667879.4	6168766.5	23.7	36.51	3-12-2013	3
205.463_1	667396	6166541.4	8.4	32.28	4-12-2013	3
205.508_1	673869	6162173	14	37.9	6-12-2013	3
205.557_1	680715	6167453	35.41	40.3358	7-12-2013	3
206.1046_1	683565	6164095	24	30.1	16-12-2013	3
206.1065_1	699152	6171391	25.8	29.2	18-12-2013	3
206.1066_1	699231	6171418	27.3	29.8267	19-12-2013	3
206.1067_1	699107	6171402	26.3	28.8175	20-12-2013	3
206.1068_1	692770.45	6167255.1	20.25	32.25	21-12-2013	3
206.1123_2	698795.88	6167870.11	41	27.7767	23-12-2013	3
206.1124_1	698781.69	6167879.11	41.7	52.7	24-12-2013	3
206.1182_1	696318.1	6169294.37	28.6	34.63	2-01-2014	3
206.1186_1	696027.94	6170512.64	30.04	33.05	3-01-2014	3
206.1201_1	694074.44	6169631	26	32.99	4-01-2014	3
206.1248_1	696155.33	6172497.79	20.82	23.8587	5-01-2014	3
206.1282_1	696740.43	6168008.84	30	34.93	7-01-2014	3
206.1464_1	699146	6171331	24.5	28.4	13-01-2014	3
206.1465_1	699181.89	6171389.39	26.5	28.5	14-01-2014	3
206.1486_1	686281	6164889	12	29.91	15-01-2014	3
206.1608_1	682156.2	6169600.4	23.6953	37.4225	19-01-2014	3
206.1608_2	682156.2	6169600.4	22.44	37.53	20-01-2014	3
206.1608_3	682156.2	6169600.4	30.44	37.69	21-01-2014	3
206.1609_3	680907	6168061	30.6	38.9514	24-01-2014	3
206.1609_4	680907	6168061	35.69	38.8988	25-01-2014	3
206.1619_1	689355.85	6168102.51	21.33	31.225	30-01-2014	3
206.1620_1	689386.15	6168257.65	23.79	31.21	31-01-2014	3
206.1624_1	692468	6169125	32.5	33.26	1-02-2014	3
206.1626_1	692527	6169338	31.6	33	2-02-2014	3
206.1631_1	683387	6171028	18.85	20.8	4-02-2014	3
206.1632_1	683387	6171029	18.85	20.84	5-02-2014	3
206.1677_1	691251.9	6167869.4	32.34	33.7175	7-02-2014	3
206.1679_1	690179.25	6166826.73	30.33	33.0175	8-02-2014	3
206.1682_1	687746.9	6166578.31	9.38	10.4333	9-02-2014	3
206.1684_1	690733.1	6167272.5	31.34	33.18	10-02-2014	3
206.1685_1	691414.1	6167302.23	32.22	33.8	11-02-2014	3
206.298_1	695371	6170639	30.5	39	23-02-2014	3
206.612_1	694926.75	6168035.49	30.5	39.28	14-03-2014	3
207.2916_1	709926.7	6168978.68	0	-2.9	12-05-2014	3
207.2919_1	709926.7	6168978.68	0.0181	-4	15-05-2014	3
207.3592_1	705071	6170075	15.8	16.7	5-06-2014	3
207.3695_1	714251	6171380	4.2	6.2	16-06-2014	3
207.3754_1	710066.07	6173308.4	5.16	8.164	21-06-2014	3
207.3773_3	702480.37	6169767.21	15.5	15.21	2-07-2014	3
207.3788_1	711769	6173358	4.82	5.8	8-07-2014	3
207.3794_1	700542.91	6168641.02	30.55	30.47	10-07-2014	3
207.3796_1	700849.58	6168776.24	28.48	30	11-07-2014	3
207.3796_2	700849.58	6168776.24	34.18	33.33	12-07-2014	3
207.3799_1	707360	6171324	6.45	10	15-07-2014	3
207.3837_2	701282	6168804	31.61	44	21-07-2014	3
207.3838_1	700897	6168679	30.58	30	22-07-2014	3
207.3838_2	700897	6168679	34.33	45	23-07-2014	3
207.3839_1	700654	6168544	30.37	30.7	24-07-2014	3
207.3839_2	700654	6168544	38.42	54	25-07-2014	3
207.3839_3	700654	6168544	45.92	54	26-07-2014	3
207.3873_1	708067	6172148	4.6	9.3	3-08-2014	3
207.3874_1	708105	6172175	4.66	9.3	4-08-2014	3
207.3875_1	708105	6172214	5.9632	9.1	5-08-2014	3
207.3892_1	700283.16	6172767.77	17.8	17.49	16-08-2014	3
207.3898_1	710665	6169586	-3.0629	5.18	17-08-2014	3
207.4013_1	702235	6172360	31.3	32.7	5-09-2014	3
207.4047_1	700063	6171468.58	24.37	27	14-09-2014	3
208.3672_1	727696	6173671	-6.2141	-0.7	9-10-2014	3
208.3673_1	727756	6173718	-2.57	-0.7	10-10-2014	3
208.3926_1	725143	6170781	-6.4	-1.7	14-10-2014	3
208.3927_1	725259	6170766	-7.9	-2	15-10-2014	3
208.3928_1	725134	6170667	-7.2	-2.2	16-10-2014	3
208.3934_1	725304	6170756	-7.7262	-1.2	22-10-2014	3
208.3936_1	725197	6170774	-7.5	-1	24-10-2014	3
208.4121_1	720341	6171180	-5.9	-0.55	17-11-2014	3
208.4122_1	720396.2	6171205.8	-5.99	-0.69	18-11-2014	3
208.4123_1	720327	6171148	-7.3	-0.82	19-11-2014	3
208.4123_2	720327	6171148	-5.45	-0.8467	20-11-2014	3
208.4124_1	720385.6	6171082.5	-5.49	-0.7	21-11-2014	3
208.4125_1	720378	6170986	-4.14	-0.58	22-11-2014	3
208.4150_1	720390.9	6171172.4	-2.04	-2.92	25-11-2014	3
208.4178_1	720049.8	6169925.8	-4.2	-0.95	26-11-2014	3
208.4179_1	720035.7	6169909.3	-3.7	-1.2	27-11-2014	3
208.4196_1	730272	6168451	-1.3	0.1	30-11-2014	3
208.4197_1	730513	6168456	-0.7	0.1	1-12-2014	3
208.4198_1	730524	6168470	-0.8	0.1	2-12-2014	3
208.4199_1	730518	6168462	-1.55	0.1	3-12-2014	3
208.4247_2	729374.47	6171978.24	-0.4	-0.5	5-12-2014	3
208.4248_2	729401.59	6171972.78	-0.8699	0	6-12-2014	3
208.4249_1	729407.37	6171882.85	-0.5	-0.12	7-12-2014	3
208.4250_2	729421.21	6171841.11	-0.3	0	8-12-2014	3
208.4251_2	729451.38	6171781.68	0.1	0.4	9-12-2014	3
208.4252_1	729476.78	6171711.15	-0.2	0	10-12-2014	3
208.4253_2	729540.96	6171602.37	0.1	0.2	11-12-2014	3
208.4256_2	729632.13	6171342.06	0.3252	-0.3	12-12-2014	3
208.4265_1	730310.15	6168423.2	-3.38	0.9	14-12-2014	3
208.4266_1	730244.64	6168426.31	-2.8	0.88	15-12-2014	3
208.4288_1	718799.35	6171067.86	-1.24	0.7	20-12-2014	3
208.4289_1	718784.37	6171063	-1.1475	0.6	21-12-2014	3
208.4290_1	718792	6171052	-1.1475	0.4	22-12-2014	3
208.4291_1	718802	6171050	-1.8056	0.7	23-12-2014	3
208.4294_1	718790	6171046	-1.45	0.8	24-12-2014	3
208.4295_1	718800.35	6171039.88	-1.8056	0.8	25-12-2014	3
208.4297_1	718806	6171052	-1.87	0.7	26-12-2014	3
208.4307_1	725390.27	6170790.15	-7.7262	-1.4	29-12-2014	3
208.4321_1	719848.2	6171121.5	-2.4	1.8	5-01-2015	3
208.4322_1	719868	6171126	-3.1	1	6-01-2015	3
210.2D_1	644967	6153621	9.1158	19	11-01-2015	3
210.666_2	659931	6150025	9.06	31.42	15-01-2015	3
211.448_1	671080	6155039	12.5	30.2	19-01-2015	3
211.482_1	669481	6151506	10.8	31.8	21-01-2015	3
212.1069_1	693149.58	6149181.58	14.6689	28.03	28-01-2015	3
212.1280_1	689741	6150704	16	24.07	10-02-2015	3
212.1281_1	689741	6150703	19.5	24.07	11-02-2015	3
212.1285_1	689810	6150721	14.5	21.1	13-02-2015	3
212.1286_1	689809	6150721	17.5	21.1	14-02-2015	3
212.1290_1	689909	6150743	14	21.2	16-02-2015	3
212.1291_1	689908	6150743	17.3	21.2	17-02-2015	3
212.1302_1	687132.11	6148690	15.69	24.63	19-02-2015	3
212.1317_1	690495.2	6151248.6	18.68	20.3	23-02-2015	3
212.1318_1	690159.98	6151146.01	21.14	25.19	24-02-2015	3
212.1319_1	689981.25	6151120.19	24.97	29.1	25-02-2015	3
212.1320_1	689592	6150664.02	19.86	22.1	26-02-2015	3
212.1385_1	681750	6149811	28.8	29.5	8-03-2015	3
212.3B_1	683062	6154831	30.2	47	21-03-2015	3
216.231_1	667484	6137656	26.65	35.9	8-05-2015	3
226.1097_1	686423.39	6099636.19	2.6666	6.8	23-08-2015	3
183.58_1	718995	6219488	-9.6	20.4	8-01-2007	5
186.774_1	688743	6205691	-16.9	2.89	30-01-2007	5
187.1049_2	708240	6218395	-27.9	8.5117	1-02-2007	5
187.1230_2	713209	6210290	-12.6	16.715	3-02-2007	5
192.1061_1	682573	6189279	-12.0251	4.4	23-02-2007	5
192.931_1	685448	6187984	-13.4751	10.24	7-03-2007	5
193.1382_3	705610	6197548	-0.75	31.8283	16-03-2007	5
193.1398_1	705824	6197426	16	32.18	20-03-2007	5
193.1452_1	715325	6194538	3.4	30.685	27-03-2007	5
193.1483_2	714401	6193687	2.08	32.2133	1-04-2007	5
193.1494_1	701051	6192859	-0.5	23.88	8-04-2007	5
193.1540_1	706076	6202975	7.7	20.2	11-04-2007	5
194.805_2	721482	6189742	-30	2.8	16-05-2007	5
196.362_1	629965	6174717	-14.5	21.1	19-05-2007	5
196.94_1	635565	6174911	-21.75	3.1324	20-05-2007	5
197.248_1	657146	6174047	-20	8.55	21-05-2007	5
198.546_1	668097	6173432	-22.1	16.51	26-05-2007	5
198.590_1	662191.8	6172554.5	-5.04	11.2	30-05-2007	5
199.1041_1	680989	6185809	-2.1	15.14	6-06-2007	5
199.1042_1	693157	6186225	-9.102	3.77	7-06-2007	5
199.1054_1	684239	6180798	-27.8	7.6	11-06-2007	5
