OBS_ID	X	Y	Z	LAYER	ME	ME^2
201.5946_1	723622	6183079	5.19736480712891	1	-3.50841322159576	12.308963333468	
201.5947_1	723625	6183094	5.19736480712891	1	-3.54525333213806	12.568821189036	
201.5949_1	723642	6183068	5.19736480712891	1	-3.7308788213501	13.9194567795987	
201.5950_1	723650	6183072	5.19736480712891	1	-3.64148538284302	13.2604157934594	
201.5961_1	725758	6178487	0.838221669197083	1	-1.94212364391174	3.77184424824101	
201.5962_1	725789	6178486	0.838221669197083	1	-2.44740970508825	5.98981426456014	
201.5963_1	725799	6178426	0.838221669197083	1	-2.80664014331786	7.87722889408333	
201.6056_1	718268	6181616	22.1633424758911	1	-2.58302402038574	6.67201308988973	
201.6057_1	718273	6181628	22.1633424758911	1	-2.77725852355957	7.71316490668429	
201.6061_1	718262	6181633	22.1633424758911	1	-3.29388590087891	10.8496843280089	
201.6074_1	722790	6177953	6.40656089782715	1	-3.46492085300446	12.0056765175851	
201.6077_1	722769.99	6177956	6.40656089782715	1	-3.74357482260256	14.0143524524238	
201.6277_1	720656.07	6181557.65	19.8639631271362	1	-5.65925355585789	32.0271508094902	
201.6477_1	718345	6181809	22.1633424758911	1	-5.9058239220047	34.878756197723	
201.6595_1	719867	6186138	18.1928977966309	1	-4.34079220605469	18.8424769761451	
201.6630_1	724610	6181039	-1.16709399223328	1	-3.33288707312562	11.1081362422079	
201.6632_1	724624	6181058	-1.16709399223328	1	-3.12583869820832	9.77086756721668	
204.181_1	643914	6170571	3.82799601554871	1	-2.39736951289368	5.74738058135207	
204.516_1	645236	6170934	2.64337396621704	1	3.89010937509155	15.1329509501752	
204.517_1	645174	6171139	0.662958145141602	1	-2.37804508176422	5.655098410903	
204.518_1	645102	6170904	2.64337396621704	1	-2.03781991612244	4.15271001054526	
204.568_1	657433.67	6170006.24	16.1439933776855	1	2.03861040477223	4.15593238244559	
205.328_1	665227	6166644	40.9299831390381	1	-11.5658523979187	133.768941690442	
205.626_1	670450	6171966	37.4802055358887	1	-4.42893734741211	19.6154860273018	
205.767_1	671018	6158661	32.192964553833	1	-7.32279935095215	53.6233903343052	
205.769_1	671001	6158670	32.192964553833	1	-7.90636130615234	62.510549103423	
206.1712_1	690783.6	6159903.8	36.0237493515015	1	-0.165250201963119	0.0273076292488515	
212.1365_1	682842	6142788	34.8366641998291	1	-0.919691467285155	0.845832394997121	
214.939_1	634058	6135455	-2.04621195793152	1	-0.394295593795178	0.155469015286292	
214.959_1	634139	6135661	-1.09420824050903	1	-0.500720103405193	0.250720621954107	
214.960_1	634103	6135683	-1.09420824050903	1	-0.574719281680569	0.33030225273543	
217.1119_1	683790	6128525	46.08860206604	1	1.86655185699463	3.48401583485009	
217.982_1	690294	6130458	40.6318101882935	1	14.4629389203292	209.176602213172	
221.1110_1	675414	6124661	4.03060233592987	1	-0.94789479119873	0.898504535181685	
221.1123_1	680302.73	6120491.32	7.43811511993408	1	2.72030550866591	7.40006206047809	
221.1124_1	680201.76	6120539.35	25.1216726303101	1	5.55541483845893	30.8626340273697	
221.1138_1	675365	6124655	4.03060233592987	1	-1.02758768253326	1.05593644529408	
226.1104_1	684416.77	6101872.52	4.72179317474365	1	-2.2399415911934	5.01733833195802	
226.1123_1	684482	6101852	4.72179317474365	1	-1.67387471234131	2.8018565526157	
226.1148_1	683744	6102294	1.76845778524876	1	-3.48570881164551	12.1501659195831	
226.1179_1	684609	6101294	5.04078829288483	1	0.652423150758449	0.425655967645582	
226.1182_1	685024	6102344	10.4740228652954	1	-0.707487707298316	0.500538855978228	
226.88_1	689291	6111440	-0.775908470153809	1	-5.76739528938293	33.2628484239965	
182.384_3	710580	6221081	-6.00049877166748	3	0.433722736091614	0.188115411802796	
182.385_1	710609	6221089	-6.00049877166748	3	4.52359406391525	20.4629032550893	
182.386_1	710609	6221089	-6.00049877166748	3	4.48359406391525	20.1026157299761	
182.387_1	710608	6221089	-6.00049877166748	3	4.41443270470428	19.4872161043628	
182.388_1	710531	6221107	-6.00049877166748	3	4.98584125460434	24.8586130161146	
182.389_1	710531	6221107	-6.00049877166748	3	4.70584125460434	22.1449419135362	
183.58_2	718995	6219488	11.5520215034485	3	10.9094754438071	119.01665445903	
183.59_1	718918	6219369	11.5520215034485	3	3.97791071384426	15.823773647317	
183.59_2	718918	6219369	11.5520215034485	3	3.97791071384426	15.823773647317	
183.59_3	718918	6219369	11.5520215034485	3	3.97791071384426	15.823773647317	
183.60_1	717739	6219300	11.7300631999969	3	18.7723675931931	352.401785053965	
186.725_1	689375	6209897	-1.17254972457886	3	-0.7468059040308	0.557719058295261	
186.726_1	689374	6209897	-1.17254972457886	3	-2.73723546183777	7.49245797354222	
186.728_1	691762	6206666	3.76259183883667	3	-0.356081376220704	0.12679394649123	
186.733_1	685499.33	6211676.46	-1.63685464859009	3	1.51909221137991	2.30764114667511	
186.761_2	691466	6206475	4.5437376499176	3	0.607915013122558	0.3695606631798	
186.764_1	691326	6206567	7.58985948562622	3	1.85619400033569	3.44545616688223	
186.765_1	691320	6206892	7.58985948562622	3	1.93299346363068	3.73646373043892	
186.766_1	691422	6206794	7.58985948562622	3	1.30844600912476	1.7120309587945	
186.768_1	691421	6206844	7.58985948562622	3	0.923278856899261	0.852443847597205	
186.769_1	691521	6206821	3.76259183883667	3	1.11586754247475	1.24516037234863	
186.770_1	691520	6206896	3.76259183883667	3	1.0433723670578	1.0886258963398	
186.771_1	691518	6206996	3.76259183883667	3	1.04980022787476	1.10208051844589	
187.1385_1	708456.9	6215992	29.9754228591919	3	37.23	1386.0729	
188.921_1	719043	6211627	15.8609600067139	3	15.8384673727626	250.857048718066	
190.31_1	656382	6191896	-4.09899139404297	3	-1.15374141126141	1.33111924405947	
192.1044_1	690038	6190934	-3.75917410850525	3	-1.76615351745749	3.11929824722745	
192.1045_1	690038	6190844	-3.75917410850525	3	1.42585073513663	2.03305031888966	
192.1046_1	690158	6190854	-3.75917410850525	3	-1.90607046654069	3.63310462341866	
192.1047_1	690138.41	6190933.76	-3.75917410850525	3	-5.51937393141742	30.4634885948101	
192.1063_1	698288	6189864	20.0451688766479	3	3.19644330455017	10.2172497992036	
192.1063_2	698288	6189864	20.0451688766479	3	3.17644330455017	10.0897920670216	
